Metric,Mean,Std Dev
Accuracy,0.872000002861023,0.027582901969604424
AUC,0.9409501910209656,0.011687866443653739
Precision,0.872000002861023,0.027582901969604424
Recall,0.872000002861023,0.027582901969604424
F1 Score,0.7950296578254086,0.04626651625857538
Epochs Trained,61.6,13.408952233489385
