seed,accuracy,auc,precision,recall,f1_score,epochs_trained,final_val_loss
42,0.8571428656578064,0.9376489520072937,0.8571428656578064,0.8571428656578064,0.7474747474747475,53,0.047469742596149445
123,0.9142857193946838,0.9544163346290588,0.9142857193946838,0.9142857193946838,0.8623853211009175,72,0.053714510053396225
256,0.8514285683631897,0.9314775466918945,0.8514285683631897,0.8514285683631897,0.7719298245614035,43,0.048539482057094574
789,0.8857142925262451,0.9520979523658752,0.8857142925262451,0.8857142925262451,0.8214285714285714,75,0.04916607588529587
1024,0.8514285683631897,0.9291101694107056,0.8514285683631897,0.8514285683631897,0.7719298245614035,65,0.031536273658275604
